아파트,법정동,전용면적,거래금액,건축년도,층,거래년,거래월,거래일
송도캐슬&해모로,송도동,84.4433,"59,900",2013,11,2024,2,19
송도더샵센트럴시티,송도동,59.97,"63,000",2018,31,2024,2,15
송도오션파크베르디움,송도동,75.9833,"62,000",2020,41,2024,2,29
e편한세상송도,송도동,70.5618,"55,500",2018,8,2024,2,24
더샵송도마리나베이,송도동,84.9738,"84,000",2020,18,2024,2,26
효정,연수동,84.95,"33,200",1993,8,2024,2,24
더샵송도마리나베이,송도동,84.2262,"71,000",2020,31,2024,2,26
현대,청학동,138.65,"37,500",2000,7,2024,2,29
더샵그린스퀘어,송도동,98.2428,"80,000",2014,6,2024,2,24
롯데캐슬캠퍼스타운,송도동,59.7433,"63,500",2016,53,2024,2,23
경남,연수동,84.935,"34,000",1993,10,2024,2,26
송도웰카운티3단지,송도동,84.99,"69,000",2010,7,2024,2,21
더샵퍼스트월드,송도동,125.967,"95,000",2009,4,2024,2,21
베르디움더퍼스트,송도동,113.8722,"82,300",2017,22,2024,2,25
우성,옥련동,84.692,"30,000",1996,4,2024,2,24
송도에듀포레푸르지오,송도동,84.517,"71,000",2016,2,2024,2,28
건영,동춘동,84.945,"33,500",1994,1,2024,2,24
송도풍림아이원4단지,송도동,84.7159,"55,000",2005,12,2024,2,28
송도더샵센트럴시티,송도동,59.97,"61,000",2018,11,2024,2,28
현대3,옥련동,59.985,"24,000",1996,12,2024,2,24
현대4,옥련동,84.6,"34,000",1997,4,2024,2,24
경남,연수동,84.935,"43,800",1993,12,2024,2,17
우성2,연수동,59.59,"37,500",1994,5,2024,2,20
아주1,옥련동,84.81,"31,100",1997,11,2024,2,29
송도SKVIEW,송도동,84.6932,"67,000",2019,6,2024,2,24
송도더샵센트럴시티,송도동,84.97,"81,000",2018,39,2024,2,23
송도오션파크베르디움,송도동,84.847,"63,000",2020,28,2024,2,17
뉴서울,선학동,84.53,"32,000",1992,14,2024,2,19
롯데캐슬캠퍼스타운,송도동,84.578,"77,000",2016,22,2024,2,19
더샵송도마리나베이,송도동,84.9738,"69,000",2020,12,2024,2,16
더샵퍼스트월드,송도동,116.125,"88,000",2009,9,2024,2,24
글로벌캠퍼스푸르지오,송도동,115.98,"82,200",2013,2,2024,2,28
우주,연수동,84.975,"29,000",1992,1,2024,2,24
성일,연수동,39.74,"16,100",1994,10,2024,2,19
현대4,옥련동,59.985,"27,400",1997,18,2024,2,20
송도파크레인동일하이빌,동춘동,84.9948,"49,000",2019,5,2024,2,20
송도풍림아이원3단지,송도동,84.94,"55,000",2005,12,2024,2,29
송도더샵그린워크3차(18-1블럭),송도동,115.14,"109,500",2015,27,2024,2,23
건영,동춘동,84.945,"35,000",1994,3,2024,2,19
우성,옥련동,84.692,"29,000",1996,4,2024,2,28
송도SKVIEW,송도동,84.6541,"74,800",2019,32,2024,2,24
송도오션파크베르디움,송도동,84.9128,"63,500",2020,14,2024,2,29
