아파트,법정동,전용면적,거래금액,건축년도,층,거래년,거래월,거래일,거래금액_숫자,전용면적_숫자,층_숫자,건축년도_숫자,평수,평당가격,건물연령,거래일자
풍림2,동춘동,84.22,"38,000",1993,5,2024,1,9,38000.0,84.22,5,1993,25.47655,1491.567735819803,31,2024-01-09
영남송도,옥련동,58.32,"18,000",1984,1,2024,1,6,18000.0,58.32,1,1984,17.6418,1020.304050607081,40,2024-01-06
송도더샵그린워크3차(18-1블럭),송도동,99.6,"95,000",2015,23,2024,1,9,95000.0,99.6,23,2015,30.128999999999998,3153.1083009724853,9,2024-01-09
현대1,동춘동,84.97,"45,000",1993,2,2024,1,7,45000.0,84.97,2,1993,25.703425,1750.7394442569425,31,2024-01-07
연수주공2차,연수동,49.94,"19,300",1992,13,2024,1,9,19300.0,49.94,13,1992,15.10685,1277.5661372158988,32,2024-01-09
동남,동춘동,52.14,"22,300",1994,9,2024,1,4,22300.0,52.14,9,1994,15.77235,1413.8666717388342,30,2024-01-04
문남마을,연수동,49.24,"19,000",1994,4,2024,1,2,19000.0,49.24,4,1994,14.8951,1275.5872736671793,30,2024-01-02
송도한진해모로,송도동,84.1224,"60,000",2006,2,2024,1,6,60000.0,84.1224,2,2006,25.447025999999997,2357.8393797373415,18,2024-01-06
시대,청학동,49.585,"22,800",1994,13,2024,1,3,22800.0,49.585,13,1994,14.9994625,1520.054468618459,30,2024-01-03
송도대경스위트리아파크뷰,송도동,46.6,"38,300",2021,8,2024,1,6,38300.0,46.6,8,2021,14.0965,2716.986486007165,3,2024-01-06
풍림1,연수동,84.96,"35,800",1992,12,2024,1,6,35800.0,84.96,12,1992,25.7004,1392.9744284135656,32,2024-01-06
베르디움더퍼스트,송도동,74.5812,"64,700",2017,14,2024,1,6,64700.0,74.5812,14,2017,22.560813,2867.8044536781545,7,2024-01-06
송도풍림아이원1단지,송도동,84.7167,"54,500",2005,13,2024,1,5,54500.0,84.7167,13,2005,25.62680175,2126.679736772069,19,2024-01-05
쌍용,옥련동,84.98,"36,000",1998,1,2024,1,5,36000.0,84.98,1,1998,25.70645,1400.426741148622,26,2024-01-05
백산2,옥련동,59.98,"22,500",1997,5,2024,1,4,22500.0,59.98,5,1997,18.14395,1240.082782415075,27,2024-01-04
동남,동춘동,52.14,"22,950",1994,5,2024,1,4,22950.0,52.14,5,1994,15.77235,1455.0780321258405,30,2024-01-04
쌍용,옥련동,84.98,"36,000",1998,1,2024,1,3,36000.0,84.98,1,1998,25.70645,1400.426741148622,26,2024-01-03
래미안,동춘동,95.76,"34,000",1993,2,2024,1,2,34000.0,95.76,2,1993,28.9674,1173.733231149499,31,2024-01-02
대동,선학동,84.4,"25,000",1992,1,2024,1,2,25000.0,84.4,1,1992,25.531000000000002,979.2017547295444,32,2024-01-02
송도에듀포레푸르지오,송도동,72.253,"65,300",2016,3,2024,1,3,65300.0,72.253,3,2016,21.8565325,2987.6651294069634,8,2024-01-03
경남,연수동,70.28,"32,500",1993,12,2024,1,2,32500.0,70.28,12,1993,21.2597,1528.7139517490841,31,2024-01-02
송도풍림아이원2단지,송도동,84.94,"52,500",2005,8,2024,1,2,52500.0,84.94,8,2005,25.69435,2043.2507535703373,19,2024-01-02
더샵그린스퀘어,송도동,98.2428,"80,000",2014,6,2024,2,24,80000.0,98.2428,6,2014,29.718447,2691.930705531147,10,2024-02-24
더샵그린워크1차,송도동,84.3408,"76,700",2014,23,2024,2,1,76700.0,84.3408,23,2014,25.513092,3006.2996676373054,10,2024-02-01
힐스테이트레이크송도2차,송도동,84.96,"66,000",2020,2,2024,2,6,66000.0,84.96,2,2020,25.7004,2568.0534155110427,4,2024-02-06
더샵송도마리나베이,송도동,74.9894,"68,500",2020,32,2024,2,8,68500.0,74.9894,32,2020,22.6842935,3019.7105323117075,4,2024-02-08
용담마을,청학동,49.995,"21,000",1994,5,2024,2,23,21000.0,49.995,5,1994,15.1234875,1388.5686089270084,30,2024-02-23
경남,연수동,70.28,"30,000",1993,6,2024,2,29,30000.0,70.28,6,1993,21.2597,1411.1205708453083,31,2024-02-29
더샵그린스퀘어,송도동,98.2428,"84,500",2014,42,2024,2,29,84500.0,98.2428,42,2014,29.718447,2843.351807717274,10,2024-02-29
